,,,,,,,,,
번호,부서명,사용자,사용일자(일시),사용장소(가맹점명),사용목적(내역),대상인원,사용방법,비목,사용금액(원)
11,기획예산과,주창현,2022-10-25 13:07,진흥마켓,은평구 문화 분야 정책진단 연구 관계자 간담회비 지급,정책연구단 및 은평문화재단 관계자 등 4명,카드,시책,36070
12,기획예산과,장영일,2022-10-26 13:31,아우랑횟집,법률고문 운영 관계자 간담회비 지급,"법률고문 및 법률고문 담당 팀장, 담당자 등 관계자 6명",카드,시책,120000
13,기획예산과,이혜진,2022-10-27 12:06,설악추어탕한모둠순대국,주요투자사업 추진 관련 간담회 경비 지급,"담당공무원, 사업관계자 등 6명",제로페이,시책,148000
14,기획예산과,김은표,2022-10-31 12:12,써브웨이 은평구청점,구정 주요 현안업무 추진 관련 관계자 간담회비 지급,구정 주요업무 추진 관계자 5명,카드,시책,46800
15,기획예산과,이준우,2022-10-05 12:25,장모님해장국,서울시 사업예산 확보 관련 간담회 경비 지급,"담당공무원, 사업관계자 등 4명",카드,시책,48000
16,기획예산과,문정훈,2022-10-06 20:22,연탄생고기점 녹번점,국시비 보조금 예산확보 관련 간담회비 지급,"담당공무원, 사업관계자 등 7명",제로페이,시책,166000
17,기획예산과,이혜진,2022-10-11 21:00,양가갈매기,주요투자사업 추진 관련 간담회 경비 지급,"담당공무원, 사업관계자 등 10명",카드,시책,250000
18,기획예산과,박지영,2022-10-13 16:55,진흥마켓,공약이행평가단(주민배심원) 회의 다과비 지급,"총 50명(주민배심원단 35명, 촉진자 5명, 관계자 10명)",카드,시책,124760
19,기획예산과,박지영,2022-10-17 10:52,홍루이젠 우물골점,공약이행평가단(주민배심원) 간식비 지급,"총 50명(주민배심원단 35명, 촉진자 5명, 관계자 10명)",카드,시책,99600
20,기획예산과,장영일,2022-10-18 19:20,맘스터치 은평구청점,법률고문 운영 관계자 간담회비 지급,"법률고문 담당 팀장, 담당자 등 관계자 9명",제로페이,시책,75000
21,기획예산과,박지영,2022-10-20 18:51,써브웨이 은평구청점,주요 공약사업 추진 관련 관계자 간담회비 지급,주요 공약사업 추진 관계자 6명,카드,시책,44200
22,기획예산과,박지영,2022-10-21 14:15,진흥마켓,공약이행평가단(주민배심원) 간식비 지급,"총 50명(주민배심원단 35명, 촉진자 5명, 관계자 10명)",카드,시책,246490
23,기획예산과,박지영,2022-10-24 12:25,투썸플레이스주식회사,공약이행평가단(주민배심원) 다과비 지급,"주민배심원 27명, 매니페스토 관계자 3명",카드,시책,50000
24,기획예산과,서용원,2022-10-25 12:16,저스트텐동앤경양카츠,구정 주요업무 추진 관련 관계자 간담회비 지급,구정 주요업무 추진 관계자 5명,카드,시책,68600
25,기획예산과,이준우,2022-10-25 21:17,연탄생고기점 녹번점,서울시 사업예산 확보 관련 간담회 경비 지급,"담당공무원, 사업관계자 등 8명",카드,시책,177000
26,기획예산과,이준우,2022-10-27 19:22,어가초밥,시설관리공단 경영효율성 제고 관련 간담회 경비 지급,"관계공무원, 시설관리공단 직원 등 4명",제로페이,시책,55000
27,기획예산과,주창현,2022-10-28 17:06,테이크 베이커리 카페,은평구 문화 분야 정책진단 연구 관계자 간담회비 지급,정책연구단 및 은평문화재단 관계자 등 3명,카드,시책,14400
28,기획예산과,주창현,2022-10-05 12:01,참치애난,2022년 정책연구 포럼 계획 수립 관계자 간담회 비용지급,정책연구단 관계자 등 5명,카드,시책,40000
29,기획예산과,장영일,2022-10-26 17:22,은평구청구내식당,무료법률상담실 운영 음료 구매비 지급,법률고문 및 연세공익법률지원센터 변호사 등,카드,시책,21600
30,기획예산과,이수연,2022-10-25 12:04,녹파랑,자치분권 활성화를 위한 간담회비 지급,자치분권협의회 관계자 등 4명,제로페이,시책,47000
31,기획예산과,문지선,2022-10-05 12:11,이화수 전통육계장 은평구청점,주요업무계획 추진 관련 간담회비 지급,주요업무계획 추진 관계자 7명,제로페이,시책,69500
32,기획예산과,강동영,2022-10-06 12:17,노량진종합어시장,2022년 통계업무 추진관계자 간담회비 지급(10. 6.),5명(사업추진관계자),제로페이,시책,75000
33,기획예산과,박초희,2022-10-07 20:14,보리네 생고깃간,지속가능발전 추진 관련 간담회비 지급,지속가능발전 추진 관계자 8명,제로페이,시책,206000
34,기획예산과,성유진,2022-10-13 09:20,진흥마켓,재정계획 등 심의위원회 다과류 구입비 지급,재정계획 등 심의위원회 관계자 등,카드,시책,9700
35,기획예산과,이준우,2022-10-14 16:10,여미향 망개떡 서대,서울시 사업예산 확보 업무협의 다과구입비 지급,사울시 사업예산 확보 업무협의 관계자 등,카드,시책,90000
36,기획예산과,문정훈,2022-10-18 19:58,메밀이 생각날때,하반기 재정집행 관련 간담회 경비 지급,"담당공무원, 사업관계자 등 6명",제로페이,시책,158000
37,기획예산과,이준우,2022-10-20 19:15,어가초밥,서울시 사업예산 확보 관련 간담회 경비 지급,"담당공무원, 사업관계자 등 8명",제로페이,시책,225000
38,기획예산과,강동영,2022-10-20 21:01,누구나 홀딱 반한 닭 은평구청점,2022년 통계업무 추진관계자 간담회비 지급(10. 20.),5명(사업추진관계자),제로페이,시책,64800
39,기획예산과,이혜진,2022-10-21 12:14,최부자,주요투자사업 추진 관련 간담회 경비 지급,"담당공무원, 사업관계자 등 7명",카드,시책,150000
40,기획예산과,문정훈,2022-10-24 19:03,오이삐,국시비 보조금 예산확보 관련 간담회비 지급,담당공무원 및 사업관계자 등 7명,제로페이,시책,105000
41,기획예산과,이혜진,2022-10-31 19:47,오이삐,주요투자사업 추진 관련 간담회 경비 지급,"담당공무원, 사업관계자 등 8명",제로페이,시책,224000
42,기획예산과,강동영,2022-10-28 11:28,참맛어울림,2022년 통계업무 추진관계자 간담회비 지급(10. 28.),10명(사업추진관계자),제로페이,시책,192000
43,기획예산과,홍승표,2022-10-28 19:12,녹파랑,하반기 특별교부금 예산확보 관련 간담회비 지급,"담당공무원, 사업관계자 등 5명",제로페이,시책,128000
,,,,,,,,,
집행 총 건수,43건,,,,,,,,
집행액 합계,4635220원,,,,,,,,
